service_building_type,construction_year_class,year_range,U_Wall,U_Roof,U_Floor,U_Window,U_Door,g_gl_Window,door_to_wall_ratio,h_room,c_m,n_air_infiltration,n_air_use,F_red_htr,design_T_min
warehouse,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.030,6.0,110.0,0.60,0.30,0.80,-12.0
warehouse,NL.02,1965-1974,2.326,2.326,1.000,5.20,3.50,0.60,0.030,6.0,110.0,0.55,0.30,0.80,-12.0
warehouse,NL.03,1975-1991,0.769,0.769,0.769,5.20,3.50,0.60,0.030,6.0,110.0,0.45,0.30,0.80,-12.0
warehouse,NL.04,1992-2005,0.395,0.395,0.395,2.90,2.00,0.60,0.030,6.0,110.0,0.30,0.30,0.80,-12.0
warehouse,NL.05,2006-2014,0.286,0.250,0.286,1.80,1.65,0.60,0.030,6.0,110.0,0.20,0.30,0.80,-12.0
warehouse,NL.06,2015-present,0.222,0.167,0.286,1.40,1.65,0.60,0.030,6.0,110.0,0.15,0.30,0.80,-12.0
office,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.010,3.0,165.0,0.60,0.70,1.00,-12.0
office,NL.02,1965-1974,2.326,2.326,1.000,5.20,3.50,0.60,0.010,3.0,165.0,0.55,0.70,1.00,-12.0
office,NL.03,1975-1991,0.769,0.769,0.769,5.20,3.50,0.60,0.010,3.0,165.0,0.45,0.70,1.00,-12.0
office,NL.04,1992-2005,0.395,0.395,0.395,2.90,2.00,0.60,0.010,3.0,165.0,0.30,0.70,1.00,-12.0
office,NL.05,2006-2014,0.286,0.250,0.286,1.80,1.65,0.60,0.010,3.0,165.0,0.20,0.70,1.00,-12.0
office,NL.06,2015-present,0.222,0.167,0.286,1.40,1.65,0.60,0.010,3.0,165.0,0.15,0.70,1.00,-12.0
school,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.015,3.2,165.0,0.60,1.20,0.85,-12.0
school,NL.02,1965-1974,2.326,2.326,1.000,5.20,3.50,0.60,0.015,3.2,165.0,0.55,1.20,0.85,-12.0
school,NL.03,1975-1991,0.769,0.769,0.769,5.20,3.50,0.60,0.015,3.2,165.0,0.45,1.20,0.85,-12.0
school,NL.04,1992-2005,0.395,0.395,0.395,2.90,2.00,0.60,0.015,3.2,165.0,0.30,1.20,0.85,-12.0
school,NL.05,2006-2014,0.286,0.250,0.286,1.80,1.65,0.60,0.015,3.2,165.0,0.20,1.20,0.85,-12.0
school,NL.06,2015-present,0.222,0.167,0.286,1.40,1.65,0.60,0.015,3.2,165.0,0.15,1.20,0.85,-12.0
supermarket,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.020,4.0,165.0,0.60,0.90,1.00,-12.0
supermarket,NL.02,1965-1974,2.326,2.326,1.000,5.20,3.50,0.60,0.020,4.0,165.0,0.55,0.90,1.00,-12.0
supermarket,NL.03,1975-1991,0.769,0.769,0.769,5.20,3.50,0.60,0.020,4.0,165.0,0.45,0.90,1.00,-12.0
supermarket,NL.04,1992-2005,0.395,0.395,0.395,2.90,2.00,0.60,0.020,4.0,165.0,0.30,0.90,1.00,-12.0
supermarket,NL.05,2006-2014,0.286,0.250,0.286,1.80,1.65,0.60,0.020,4.0,165.0,0.20,0.90,1.00,-12.0
supermarket,NL.06,2015-present,0.222,0.167,0.286,1.40,1.65,0.60,0.020,4.0,165.0,0.15,0.90,1.00,-12.0
restaurant,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.015,3.0,165.0,0.60,1.50,1.00,-12.0
restaurant,NL.02,1965-1974,2.326,2.326,1.000,5.20,3.50,0.60,0.015,3.0,165.0,0.55,1.50,1.00,-12.0
restaurant,NL.03,1975-1991,0.769,0.769,0.769,5.20,3.50,0.60,0.015,3.0,165.0,0.45,1.50,1.00,-12.0
restaurant,NL.04,1992-2005,0.395,0.395,0.395,2.90,2.00,0.60,0.015,3.0,165.0,0.30,1.50,1.00,-12.0
restaurant,NL.05,2006-2014,0.286,0.250,0.286,1.80,1.65,0.60,0.015,3.0,165.0,0.20,1.50,1.00,-12.0
restaurant,NL.06,2015-present,0.222,0.167,0.286,1.40,1.65,0.60,0.015,3.0,165.0,0.15,1.50,1.00,-12.0
hotel,NL.01,<=1964,2.326,2.326,1.000,5.20,3.50,0.60,0.010,2.8,165.0,0.60,0.60,1.00,-12.0
