construction_year_class,year_range,building_type,U_Wall,U_Roof,U_Floor,U_Window,U_Door,source_archetype
NL.01,<=1964,SFH,2.778,2.564,3.125,5.2,3.50,NL.N.SFH.01.Gen.ReEx.001.001
NL.01,<=1964,TH,5.263,4.545,6.667,5.2,3.50,NL.N.TH.01.Gen.ReEx.001.001
NL.01,<=1964,MFH,2.778,2.564,3.125,5.2,3.50,NL.N.MFH.01.Gen.ReEx.001.001
NL.01,<=1964,AB,2.778,2.564,3.125,5.2,3.50,NL.N.AB.01.Gen.ReEx.001.001
NL.02,1965-1974,SFH,2.326,1.163,5.882,5.2,3.50,NL.N.SFH.02.Gen.ReEx.001.001
NL.02,1965-1974,TH,2.326,1.163,5.882,5.2,3.50,NL.N.TH.02.Gen.ReEx.001.001
NL.02,1965-1974,MFH,2.326,1.163,5.882,5.2,3.50,NL.N.MFH.02.Gen.ReEx.001.001
NL.02,1965-1974,AB,2.326,1.163,5.882,5.2,3.50,NL.N.AB.02.Gen.ReEx.001.001
NL.03,1975-1991,SFH,0.769,0.769,0.769,5.2,3.50,NL.N.SFH.03.Gen.ReEx.001.001
NL.03,1975-1991,TH,0.769,0.769,1.923,5.2,3.50,NL.N.TH.03.Gen.ReEx.001.001
NL.03,1975-1991,MFH,0.769,0.769,1.923,5.2,3.50,NL.N.MFH.03.Gen.ReEx.001.001
NL.03,1975-1991,AB,0.769,0.769,0.769,5.2,3.50,NL.N.AB.03.Gen.ReEx.001.001
NL.04,1992-2005,SFH,0.395,0.395,0.395,2.9,3.50,NL.N.SFH.04.Gen.ReEx.001.001
NL.04,1992-2005,TH,0.395,0.395,0.395,2.9,3.50,NL.N.TH.04.Gen.ReEx.001.001
NL.04,1992-2005,MFH,0.395,0.395,0.395,2.9,3.50,NL.N.MFH.04.Gen.ReEx.001.001
NL.04,1992-2005,AB,0.395,0.395,0.395,2.9,2.00,NL.N.AB.04.Gen.ReEx.001.001
NL.05,2006-2014,SFH,0.286,0.250,0.286,1.8,1.65,NL.N.SFH.05.Gen.ReEx.001.001
NL.05,2006-2014,TH,0.286,0.250,0.286,1.8,1.65,NL.N.TH.05.Gen.ReEx.001.001
NL.05,2006-2014,MFH,0.286,0.250,0.286,1.8,1.65,NL.N.MFH.05.Gen.ReEx.001.001
NL.05,2006-2014,AB,0.286,0.250,0.286,1.8,1.65,NL.N.AB.05.Gen.ReEx.001.001
NL.06,2015-present,SFH,0.222,0.167,0.286,1.8,1.65,NL.N.SFH.06.Gen.ReEx.001.001
NL.06,2015-present,TH,0.222,0.167,0.286,1.8,1.65,NL.N.TH.06.Gen.ReEx.001.001
NL.06,2015-present,MFH,0.222,0.167,0.286,1.8,1.65,NL.N.MFH.06.Gen.ReEx.001.001
NL.06,2015-present,AB,0.222,0.167,0.286,1.8,1.65,NL.N.AB.06.Gen.ReEx.001.001
