# Deterministic DHW/gas-cooking reference constants -- single point of
# configuration, mirroring occupancy's households/data/dhw_tapping_categories.csv
# pattern. Loaded by buem.config.reference_values.load_dhw_cooking_constants().
# Generated by scripts/extract_dhw_reference_values.py -- re-run that script to
# regenerate the EN-12831-3-sourced rows from the source workbook; other rows
# (CBS shares, calorific value, boiler efficiency, the legacy NTA 8800 figure) are
# independently-documented constants the script also writes, not workbook reads --
# see the script's own docstring for exactly which is which. Hand-editing any
# value directly in this file is supported and expected -- update the `source`
# column too if you do, so provenance stays honest.
name,value,unit,source
WATER_DENSITY_KG_PER_L,1.0,kg/L,"Standard approximation, close enough across DHW temperature range"
WATER_SPECIFIC_HEAT_KJ_PER_KGK,4.186,kJ/(kg*K),Standard textbook value
DHW_DELTA_T_K,30.8,K,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): real operating-conditions delivery/cold-mains temperatures (42.0C - 11.2C)"
DHW_DELTA_T_K_REFERENCE,46.5,K,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): reference-need-normalization temperatures (60.0C - 13.5C), distinct from the real operating-conditions pair above"
DHW_LITERS_PER_PERSON_DAY_EN12831_3,55.0,L/person/day,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): Annex Table B.5, single family dwellings AVG"
DHW_ANNUAL_KWH_PER_PERSON_NTA8800,545.0,kWh/person/year,"NTA 8800 secondary citation (WebSearch, 2026-08-17) -- kept for reference only, NOT the default: fails its own internal-consistency check against the separately-cited 40.3 L/person/day figure (see dhw_cooking.py docstring)"
SPACE_HEATING_SHARE_OF_GAS,0.78,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
DHW_SHARE_OF_GAS,0.2,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
COOKING_SHARE_OF_GAS,0.02,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
GAS_CALORIFIC_VALUE_KWH_PER_M3,9.769,kWh/m3,Gasunie/CBS Slochteren G-gas upper calorific value standard (35.17 MJ/m3)
BOILER_EFFICIENCY_UPPER_VALUE,0.9,fraction,"Typical modern HR (condensing) boiler assumption, round starting value"
